Material Type,E (GPa),ν,ρ (kg/m³),Tensile Strength (MPa),Young’s Modulus,Altitude (m),Temperature (°C),Pressure (Pa),Operational Life (years),Wing Span (m),Fuselage Length (m),Structural Thickness (mm),Structural Shape,Load Distribution,Vibration Damping,Computational Time,Weight Efficiency,Durability,Quantum Algorithm Type,Number of Iterations,Optimization Time (sec)
Aluminum,185.69674587216923,0.3077091076893067,2730.710453347573,1423.8896628761486,91.17299288446213,15599.655147919875,-57.4316753428427,148360.10745115433,37,33.200714738611765,64.8981493428567,13.688270591376993,Tapered,point load,Low,Short,Excellent,Low,Chaotic Quantum Genetic,1568,146.8483625712404
Titanium,59.852396308551285,0.3091065976511747,1969.6701047524516,467.4422250027577,88.16186018969657,12086.883847255816,-40.72602152301445,168254.942831212,32,36.628837375854935,62.93773388897836,9.550246323730573,Cylindrical,point load,High,Long,Poor,High,Shark Optimizer,1764,107.07157146961171
Carbon Fiber,136.37391806872313,0.34693239807717946,3659.13911868068,961.1634225571677,55.89916627958678,19366.24386815015,-43.5763296690442,161654.15233261226,27,36.06081428096664,56.812967861996306,5.026259803862095,Tapered,distributed,Low,Long,Good,Medium,Chaotic Quantum Genetic,1707,148.14485133157285
Aluminum,103.1404688671567,0.3110803842093607,3377.9041546502604,1432.1332098388214,53.71812348404767,15975.653098448489,-54.26445040826743,143375.9981752317,25,58.4709309292062,30.477116063096545,9.812850176901676,Cylindrical,distributed,High,Long,Good,High,Chaotic Quantum Genetic,1394,72.46312572695285
Aluminum,136.73238012505152,0.3081743106150689,1859.5278067829097,1448.2940589146617,86.93776881689828,6948.7164403823535,-41.03878977021339,100397.4035199826,31,51.21656851915226,30.515037835310714,10.85505636634123,Tapered,point load,High,Medium,Poor,High,Chaotic Quantum Genetic,630,72.55489227802586
Aluminum,142.8293261707048,0.3458692800681361,3835.2676659121353,289.3948599331531,95.37520858635656,6431.227665179744,-56.159318961767795,176977.5145553468,31,20.01907763119695,65.65169341994012,9.711056981697059,Rectangular,uniform,Moderate,Long,Good,Medium,Chaotic Quantum Genetic,845,66.4723509826728
Aluminum,180.05288793830337,0.32605954095794687,2165.6654187122276,394.8236151465794,97.23435223482802,12975.196444997844,-40.785178256254,122496.84181779732,22,25.641439302803906,54.93476557528503,8.580532219920899,Cylindrical,distributed,Low,Short,Poor,High,Chaotic Quantum Genetic,1443,57.438959985958036
Carbon Fiber,95.46567932146925,0.3364791446443523,2381.1918865021908,918.3375262560851,77.54490562644108,6402.932149851687,-59.083534493517206,116094.72773801848,23,27.641114172579595,45.86597969323207,6.396295653522422,Rectangular,point load,Moderate,Medium,Poor,Medium,Shark Optimizer,1304,136.93256390334258
Titanium,193.33211000100965,0.3156223201252317,3843.9773642084233,832.5522183002187,81.40322335846595,16974.39460676098,-53.134688761511086,135539.80502332433,21,34.657051875464425,39.971821209190765,14.578870208967704,Tapered,uniform,High,Long,Good,Medium,Shark Optimizer,1124,107.67952920733637
Carbon Fiber,125.09339497884484,0.3270695448715915,3931.5677282158986,312.18376766009476,95.11438172512086,18428.346563804655,-59.113182716605884,189515.1590988675,37,23.55874400288851,39.89937025072916,12.239644803414784,Rectangular,distributed,Low,Medium,Excellent,Low,Chaotic Quantum Genetic,1195,128.01889520720465
Titanium,99.76197200379667,0.34219971494269685,3802.213663300717,1337.0312986856434,53.21965321919042,19718.0400014506,-45.667662622288994,139306.78626462014,38,37.87467910718959,49.995736339287646,14.680648659535029,Rectangular,uniform,Low,Medium,Good,Medium,Chaotic Quantum Genetic,1442,79.20082571877944
Aluminum,143.3125873666309,0.33993219975926603,2850.5786094242585,305.1293941720374,95.47654637704724,5193.101067257328,-43.569465368927624,123778.86047837434,20,58.871074482020546,64.763644877599,12.510552252342098,Rectangular,point load,High,Long,Excellent,Medium,Shark Optimizer,541,104.87086654280625
Aluminum,173.97208316924662,0.3297927846604411,4088.694664139886,1214.612784553235,61.21369420983725,14942.473259534878,-58.933154133216995,128046.04910270477,34,21.713714162745298,67.39587736930224,6.02060881973955,Tapered,point load,Low,Long,Poor,Low,Chaotic Quantum Genetic,1798,60.48475132088802
Carbon Fiber,164.39280107764,0.30160684458813486,3323.080303973813,969.0195401697008,70.37974658006833,16548.358714079353,-52.32338621879984,122355.92154472703,32,30.288172070395376,65.38914330024781,8.442654498895124,Tapered,point load,Moderate,Medium,Good,Low,Shark Optimizer,1037,58.774870860473825
Titanium,91.1591724557606,0.30021029872451355,1664.390825278095,261.2468675518519,87.61404538127476,7737.665305560045,-46.40778002720175,126644.23663043186,23,45.94479356094932,66.08393823328004,5.928445821198167,Tapered,point load,Low,Short,Poor,Medium,Shark Optimizer,1396,72.30942096323649
Carbon Fiber,165.1022287916304,0.3008221710583374,3555.2175899344197,831.5213387322339,88.05938513150673,15200.805232377954,-56.678938895369924,187245.15496293193,35,41.175028567582096,59.846477301936716,11.369122049991104,Rectangular,point load,High,Long,Poor,Low,Chaotic Quantum Genetic,1181,67.18012070543091
Titanium,183.85220393294023,0.3194816302474728,2140.532584432867,402.78530302256036,52.32649195759719,9470.54768089762,-43.50481992939302,194043.18213693151,38,45.668986919770916,35.75865924591864,7.508387097294733,Rectangular,point load,High,Medium,Excellent,Low,Shark Optimizer,762,91.06840119767335
Carbon Fiber,97.73649000181257,0.3465251814972963,1650.989863930798,1412.7590905269183,59.5296989080556,9473.487152567275,-48.69266879369785,100593.88273255317,29,53.88500825939991,67.59010105694699,5.915049433139105,Tapered,point load,Low,Medium,Excellent,Low,Chaotic Quantum Genetic,1541,130.16451419467
Titanium,103.32100834796287,0.3251616416637965,2063.066243161847,731.2444566912928,87.39099535485155,18773.927987827636,-51.635418720272,136000.4513198292,32,55.71027444991133,35.96461197422321,6.202030045517514,Rectangular,point load,High,Short,Excellent,Low,Shark Optimizer,1178,109.9248169510528
Carbon Fiber,126.67086383262512,0.3184986450753615,2748.5350688917533,1431.7431910820912,66.26139559574396,10000.458614177083,-42.72863794266303,160618.24564149286,32,36.123864085015995,68.64675350948136,7.9588951429252806,Rectangular,distributed,High,Short,Poor,High,Shark Optimizer,674,144.71471248891976
Carbon Fiber,65.83640046245274,0.33210439290697624,2288.8233594508492,1402.923346628862,63.30960553904075,12889.236306517234,-44.748384737640826,103901.36529063854,21,55.599758948803355,50.2659883520016,13.092362933884004,Tapered,uniform,Low,Long,Excellent,Low,Shark Optimizer,1466,143.485302485745
Aluminum,76.07339592814992,0.33782205516781094,3894.8878432032566,879.8498363101618,57.33068265251317,18175.65280786523,-45.65945623655695,148914.5749560104,37,52.77162727716028,30.329511276987343,6.363333735735451,Rectangular,uniform,High,Medium,Excellent,Low,Shark Optimizer,763,114.57785713385437
Aluminum,114.30464562492321,0.31364898375016864,2853.3471534018836,1186.4985158007942,59.94262741530115,15227.771507441645,-46.325477400382574,149505.71095971586,35,55.99710477557582,53.0742741412037,12.042902290161347,Tapered,uniform,Low,Long,Excellent,Medium,Shark Optimizer,1234,63.30789714731612
Aluminum,155.30014125726473,0.3463045171622278,2372.828437867368,1287.364284113898,86.1869184630626,19429.82668906438,-56.192926682953505,180798.82817886292,26,52.81414363657311,56.23267113133001,5.447753801464143,Cylindrical,uniform,High,Medium,Excellent,High,Shark Optimizer,1716,127.07984141251384
Titanium,89.68185181432807,0.34601878545167636,3467.4941842232615,1244.683293446122,75.08398749394509,7648.5411822589795,-53.2587376814376,169678.54108113432,33,55.95672624357594,51.802593169938,6.507240669764442,Tapered,distributed,Moderate,Short,Excellent,Low,Shark Optimizer,1800,106.0349869724827
Carbon Fiber,94.941326628275,0.3292341482313094,1984.0315169111295,451.39919053154307,76.25550943324689,18675.48532861378,-41.92134845163533,186516.57343162133,22,35.753265507287196,48.01579948924509,13.666356250759645,Tapered,point load,Low,Medium,Poor,Low,Chaotic Quantum Genetic,1481,140.0233447736726
Titanium,199.81757759681514,0.31730427447639625,1520.9326830665884,887.6698185833585,71.57797424272107,16849.923868198835,-43.141478528705484,127924.2401907722,39,37.389348486003996,41.313063478347665,11.617647747105028,Rectangular,distributed,Moderate,Long,Poor,Low,Chaotic Quantum Genetic,1937,107.71802469964831
Carbon Fiber,126.1558548149402,0.31220459790220234,1766.1422357320198,1483.2161721750033,86.99652446278297,6000.560641294601,-45.22842906320757,182374.7355351096,33,31.345037120332677,43.27105731288941,6.3104386120918035,Cylindrical,point load,Low,Medium,Excellent,Medium,Chaotic Quantum Genetic,1567,62.49753806139737
Titanium,90.49120856396642,0.3110594556193396,2246.090732707651,961.7395527232031,51.9364678559415,6909.513172344643,-40.471672166170094,120719.48515498136,27,35.288143033834345,50.92233688939321,8.077167277113304,Rectangular,point load,High,Medium,Poor,Low,Shark Optimizer,1178,69.96057682332706
Carbon Fiber,174.18302323561682,0.3488650862268602,2110.4414068867322,1415.8447690284972,86.97168639992108,15470.964231330086,-48.66796601545295,170774.8130660075,32,49.49157408154812,37.357939802083635,12.23262699413218,Cylindrical,distributed,Moderate,Short,Excellent,High,Shark Optimizer,1688,113.78608840480152
Carbon Fiber,50.10324792779846,0.3198538099174011,3454.20340548934,1436.463563476737,87.3980256309425,13293.297069881495,-56.033926491614785,107368.45344576395,32,53.65662468200266,49.59992953397539,13.776411710333175,Cylindrical,uniform,Moderate,Long,Good,Low,Shark Optimizer,1512,66.20427445707013
Titanium,102.59370321158133,0.3138365249203013,3698.001054697077,1031.2893197889362,67.8223312665979,18551.41433765254,-48.959965085013394,199753.23121456456,29,39.33409545323259,69.1042443948012,6.166558380245696,Tapered,distributed,Moderate,Medium,Good,Medium,Chaotic Quantum Genetic,599,86.20459461383635
Carbon Fiber,179.8601837764895,0.3212199485165768,4051.815453630391,350.3272911377233,71.02659886012793,7317.398454824679,-46.00713854401302,130432.42864555851,26,38.43526337354982,48.3916031392669,12.13650477461984,Cylindrical,distributed,Low,Long,Poor,Medium,Chaotic Quantum Genetic,1367,70.39894477480988
Aluminum,180.31717370858613,0.32398970635276614,4236.440887210955,958.0547929059627,90.18694600591681,17721.35467467908,-42.842938469918366,138251.0686734774,27,59.019420804208686,62.632726973470895,8.801667918699188,Cylindrical,point load,High,Medium,Good,Low,Chaotic Quantum Genetic,1094,65.43744200049852
Titanium,83.94742701811707,0.34629760413841476,1620.5408343974364,1410.3053664746371,72.45802238788207,5974.708676638895,-40.830608758035396,196996.0401135071,33,49.17695805302832,53.11643466648175,12.563119463106682,Rectangular,uniform,High,Long,Good,Medium,Chaotic Quantum Genetic,1391,137.70287344490055
Carbon Fiber,153.7902670450099,0.3429334249228698,2045.3599432162653,1385.5200900536254,61.91410700385839,7609.827125359874,-58.14729096847522,159994.09590703793,20,41.969313229517624,52.36771876365739,5.5222071692582775,Tapered,distributed,Low,Medium,Excellent,Medium,Shark Optimizer,735,118.6915748127189
Aluminum,197.82096452049848,0.3119910443413289,3375.48918804584,364.6478075497559,62.48317850458787,19962.628912373224,-53.29185042634573,148172.1077459446,21,46.07165746272892,32.80791280140578,8.04504780546391,Rectangular,point load,Moderate,Short,Poor,Medium,Chaotic Quantum Genetic,1355,70.41310363401095
Carbon Fiber,96.49774574338687,0.3217234467484825,3611.406616621056,325.7088403218356,62.64219434319173,9786.200543337738,-55.01831751744858,189546.53623136744,21,47.17772993686935,35.98127691981561,11.272163084709497,Rectangular,uniform,High,Long,Poor,High,Shark Optimizer,1537,115.93701177580775
Carbon Fiber,67.19368220137531,0.3152621385410689,3360.8395808477903,732.4683875250296,85.8852343101693,15536.035015799269,-57.45037399033869,103369.01246980573,33,56.68236905306986,60.82838204951429,8.793757771476947,Tapered,point load,Low,Short,Good,Medium,Chaotic Quantum Genetic,1433,108.24052665875041
Aluminum,145.9691592473058,0.3279837900648014,3047.0471882975553,726.5065912160063,89.15334170602381,7223.092355193023,-59.63576334379074,137622.91619872986,20,38.919485857087224,41.48776407231498,5.12701814075527,Tapered,uniform,High,Short,Good,Low,Shark Optimizer,1297,123.545799633798
Titanium,181.89251206173822,0.3045280593704386,2172.141626713458,1138.6949188296587,78.14394236447085,18492.477449297206,-56.53532506341871,148901.72944824485,31,48.33764052937341,69.94881322469841,7.7962542726683335,Rectangular,point load,Moderate,Short,Poor,Medium,Shark Optimizer,1673,130.23599876249048
Aluminum,180.40832905149895,0.3358546592267001,3779.305079212863,1172.9221585017822,90.40283248995459,17556.736668685626,-58.215594813308456,137763.017523335,33,55.04189055551096,69.05242236512643,14.281592330016922,Tapered,uniform,High,Short,Excellent,Medium,Shark Optimizer,1058,127.95688319796898
Titanium,139.36204823886553,0.3100690811986523,4106.413314134352,968.8277471766653,55.17719662156092,7122.928541049403,-53.213857781209214,165453.96780920826,20,43.576652724591355,57.505827135894094,9.682589900981457,Tapered,distributed,Low,Medium,Good,Low,Shark Optimizer,656,90.94844860339671
Aluminum,51.81017249373506,0.3352605710253455,2650.0124950999593,933.4888213887647,73.66971803738434,12110.296660994027,-52.97132452015937,109136.38312778754,21,27.915292837137965,30.30623238756448,6.8265145781461145,Rectangular,distributed,Low,Medium,Good,Low,Shark Optimizer,982,67.1710167138295
Carbon Fiber,165.54128690202185,0.3346820554806511,3000.742299803105,710.7813012517802,93.72875076281389,10280.128630580095,-48.95614388650211,124515.45824555824,31,24.754208486932235,54.408286558798096,7.162245260464161,Tapered,distributed,High,Short,Poor,High,Chaotic Quantum Genetic,860,108.83157338856557
Carbon Fiber,75.52636823304476,0.34015462408932634,2028.168206603846,1128.3788637758025,79.61096217167413,11035.915529704715,-54.00550478062596,174316.02129301603,28,36.57600065342378,31.620390142160417,11.014452180626567,Tapered,point load,High,Medium,Poor,Low,Chaotic Quantum Genetic,734,81.91398929192813
Aluminum,134.2445815243871,0.3396625227478938,3213.3167597173288,842.3632455072941,81.82236594419447,15542.71059503579,-58.37640252071766,134366.9232080362,20,28.430521199066586,62.885204620568686,12.591542248026117,Tapered,point load,Moderate,Long,Poor,Low,Shark Optimizer,1590,82.87443305515785
Carbon Fiber,51.92589868987134,0.3263982078047308,3922.946353396984,483.71745629058364,96.46870507031338,16843.764779349054,-57.479913608505555,178008.5725032908,28,45.05071110181301,52.45119994348275,5.431629480563175,Tapered,distributed,Low,Medium,Poor,High,Shark Optimizer,925,139.55570121612305
Aluminum,52.39584268665441,0.3340646956870017,2963.779409537177,1136.6364040866374,64.6066829672252,7705.364079862682,-48.13611673605301,105603.54082509266,25,49.08163939079482,31.33994726037191,7.280312441015119,Rectangular,distributed,High,Long,Poor,Low,Chaotic Quantum Genetic,809,73.3023656715142
Carbon Fiber,67.12419604885464,0.34939828315157634,2646.2996146619453,770.6907871089971,95.25364982468582,18238.298468368568,-50.39910153432608,141906.4297103032,23,26.208904671803722,62.22923576659143,10.024608673320618,Rectangular,point load,High,Short,Poor,High,Chaotic Quantum Genetic,1244,113.95656958889435
Titanium,125.0550520763387,0.3261607972683329,2645.033357748076,1158.1524741915118,57.85630173746365,12984.628009003696,-51.464052028780955,195651.36006806014,36,47.70085559184646,44.837999882052614,10.377837987060058,Tapered,point load,Low,Long,Poor,Medium,Chaotic Quantum Genetic,1004,134.25045202845445
Aluminum,106.59597173369147,0.30520087566284093,2264.5563629256712,864.4006439252198,53.92352967172894,17000.188166578708,-49.30703328992954,113215.00816928872,23,23.627615800031926,60.2312614954618,11.395836224702238,Rectangular,distributed,Moderate,Medium,Good,Medium,Chaotic Quantum Genetic,1403,148.71885519164908
Carbon Fiber,76.77139880894487,0.32288397958796283,4488.694619032443,851.994855598322,70.01921864769697,6991.4387878250345,-46.73002893677631,124068.24594056963,29,46.85763597715996,68.89676637113962,5.344333864801799,Tapered,uniform,Low,Long,Excellent,Low,Shark Optimizer,973,60.18465465088313
Carbon Fiber,166.62595402942807,0.31345617561655154,1622.418845601043,1178.4546792827118,87.57162019021179,6496.415503073929,-50.295794871642926,139673.2333180655,24,46.03284471188195,34.79682641759467,10.444322753597827,Tapered,point load,Low,Medium,Good,Low,Chaotic Quantum Genetic,558,111.82440330975172
Carbon Fiber,103.17546247576614,0.32114119061539603,3580.8718343627593,921.2736379816258,51.15444269077046,17763.3555582122,-45.51593734921981,182848.75767669035,37,40.70869405964362,61.55320743576864,11.67580067141912,Tapered,distributed,High,Short,Poor,High,Chaotic Quantum Genetic,889,71.70554771821288
Titanium,119.78659312190429,0.32202763184925237,2633.0727048554845,1386.429253706373,91.48489335429812,13027.527204254908,-58.6709913401147,131722.58665042804,26,31.570672893927885,60.71029548403665,11.001914083861738,Tapered,point load,Moderate,Medium,Poor,Medium,Shark Optimizer,728,57.87785554951081
Carbon Fiber,64.7337531399095,0.31909696622456507,1710.7711742007425,1116.224332777372,94.59189370682326,18630.828820971074,-49.54321187274624,140880.15486580122,33,44.245890188193215,35.06860686103313,9.930351982443662,Rectangular,distributed,High,Medium,Excellent,High,Chaotic Quantum Genetic,1250,62.39023637596573
Titanium,157.1366525376356,0.33778113619004196,4229.202795597148,1008.3434995394355,67.26946754131265,11875.459658007705,-47.26416892525209,158625.7928603336,35,55.37448336519795,57.532373897943785,13.725027226744846,Rectangular,distributed,Moderate,Medium,Excellent,High,Chaotic Quantum Genetic,1268,95.69211755015316
Carbon Fiber,96.25352808892958,0.3340331363150605,3832.486081712602,579.7298824255677,80.1652973771188,7190.744253400046,-58.649408845821426,124270.02953366433,28,38.78882045408136,64.59913025285542,8.5736110339123,Cylindrical,point load,Low,Medium,Excellent,Medium,Shark Optimizer,786,67.10415210554338
Titanium,125.49581854757568,0.3018495625761281,1989.1734798654365,518.0519335461158,75.20019144810344,9020.01724669529,-52.79323553442098,183726.16344585412,20,55.68568630989571,58.48089864262715,14.600653945697252,Cylindrical,uniform,Moderate,Medium,Good,High,Shark Optimizer,755,117.73648649644136
Titanium,79.78677028932746,0.30896032228873604,3329.290517677895,1256.8229478892729,72.15788651431193,14371.929990655526,-44.05166669513029,144302.9881317668,31,44.01368292712951,66.20627568082767,10.429486165318567,Rectangular,point load,Low,Short,Good,Low,Shark Optimizer,1895,55.141667030479894
Carbon Fiber,174.5840352198053,0.33112916896265276,4301.732871849848,549.4727803921394,56.74196490405457,9426.797302187802,-56.97075114852104,120238.36495844682,34,52.4147397242101,59.157072021272796,12.497721685851827,Rectangular,distributed,Moderate,Long,Poor,High,Shark Optimizer,1939,72.3663482379493
Carbon Fiber,145.7099592652728,0.34483513546056216,3870.51631014997,1103.9638862408856,83.31506980357005,8580.075154748785,-58.316830925257385,139575.78888199083,29,31.08678954978157,64.79769191426828,11.303787498352008,Cylindrical,point load,High,Short,Poor,Low,Chaotic Quantum Genetic,994,98.5768274353511
Titanium,62.352603928118285,0.33806682374225683,2756.991599697687,1120.9216400700225,82.00387275234948,5216.132976166924,-47.68758944534671,181099.04950867628,32,52.45576694281669,53.274202247818664,9.712069365189631,Rectangular,uniform,Moderate,Long,Excellent,High,Shark Optimizer,580,61.7731919120438
Aluminum,141.93751129688212,0.32683270312848717,2936.1115114383197,1153.3311641867906,93.56600255321447,7128.339269199193,-55.48393041486737,131970.97097416312,34,24.149395692653115,47.762827674298286,9.210452512591086,Tapered,distributed,Moderate,Short,Good,Low,Chaotic Quantum Genetic,1595,51.452166808289505
Carbon Fiber,80.11119206609943,0.32142582077929227,2780.959556192543,293.6230924046978,97.16729505454217,14708.638971238977,-41.62487786940113,143689.05143463542,25,40.560241141608,61.4057757343753,13.166632656263959,Rectangular,point load,Moderate,Medium,Poor,High,Shark Optimizer,831,126.86057157156615
Aluminum,64.92304702426978,0.34078484729801434,1530.4764333454066,1312.2815580517256,53.05601350850335,14262.350117018757,-47.226391365644176,180417.57613633777,33,30.03782265391196,48.68335712306381,14.681935967626739,Rectangular,distributed,High,Medium,Poor,High,Chaotic Quantum Genetic,1101,84.01353425744054
Carbon Fiber,120.73161331968106,0.30916322166882615,1924.3483516533702,806.3010402045561,62.458857360571606,19741.455801564058,-45.174906886232286,145163.25407416176,23,31.16073663050145,48.79943611108367,6.747584948497522,Cylindrical,point load,Moderate,Long,Excellent,High,Shark Optimizer,953,121.447874572892
Aluminum,83.31166557697277,0.34990396534913865,2531.4267219475387,1443.0062005444856,84.33254357697504,18259.95440369423,-40.02748539344467,168238.46736031948,36,56.31348225403329,55.113127109416624,10.321809275902819,Rectangular,point load,Low,Short,Good,Low,Shark Optimizer,1239,93.69451577385689
Titanium,68.2987780009954,0.33928495806909714,2066.240478505781,1446.145111100128,70.77653645006933,6071.200278298396,-54.743288070763846,122164.36390650568,27,34.06481834869423,61.00349411412256,6.798012909150933,Cylindrical,point load,Moderate,Long,Excellent,Low,Shark Optimizer,737,97.38853897247955
Carbon Fiber,181.05770111959808,0.3200286085935296,4322.098351215337,775.3376344149037,59.9982895061711,8346.319941714093,-43.61098151450741,163364.78104961774,26,36.71577854616624,40.78776598274473,10.809703985386053,Rectangular,uniform,Moderate,Short,Good,Low,Shark Optimizer,1663,144.36523752594871
Carbon Fiber,199.32331858444866,0.32346724082797357,3641.35929435735,914.8748181950555,70.1282059128773,9471.04950912469,-57.88165586225057,102917.22746541076,29,54.06943052454709,67.95267604495393,8.603210229781345,Rectangular,point load,High,Medium,Good,High,Chaotic Quantum Genetic,1866,128.12058805649917
Aluminum,193.81278082016019,0.3198583748438536,3107.523429895602,351.8486478078985,92.09031336503685,11572.685577560882,-59.83909144111157,186846.3033952424,36,41.38891291711869,30.01276768280777,10.869309077790453,Tapered,point load,Moderate,Long,Excellent,Medium,Shark Optimizer,1679,130.78437675187058
Aluminum,158.04281154753926,0.33081362759964644,2181.8215049067903,1387.5060642485632,75.06953467814637,16022.430938517125,-41.855856336011506,129574.30789275766,25,23.169391947340607,66.53384504277753,8.99118465569181,Cylindrical,uniform,Low,Long,Good,High,Shark Optimizer,1914,63.81812421794935
